,price,area,locality,bedroom_num,bathroom_num,balcony_num
643,260.0,1050,Powai,2,2,0
644,320.0,1150,Powai,3,3,0
645,70.0,452,Vikhroli,1,1,0
646,300.0,1207,Ghatkopar,3,3,0
647,250.0,1020,Chembur,2,2,0
648,350.0,1900,Thane,4,4,0
649,330.0,800,Andheri,2,2,0
650,67.0,735,Ulwe,1,1,0
651,140.0,550,other,1,1,0
652,365.0,1500,Goregaon,3,3,0
653,360.0,1900,Thane,4,4,0
654,270.0,1200,Andheri,2,2,0
655,370.0,1900,Thane,4,4,0
656,1600.0,2850,Andheri,4,4,0
657,190.0,1140,Thane,3,3,0
658,300.0,1000,Andheri,3,3,0
659,500.0,4000,Thane,5,5,0
660,260.0,800,Andheri,2,2,0
661,190.0,920,Thane,2,2,0
662,240.0,1050,Thane,3,3,0
663,48.0,665,Bhayandar,1,2,0
664,105.0,1200,Ulwe,2,2,0
665,245.0,1150,Thane,3,3,0
666,285.0,1300,Thane,3,3,0
667,470.0,2100,Thane,4,4,0
668,128.0,681,Chembur,1,2,0
669,260.0,1050,Powai,2,2,0
670,320.0,1150,Powai,3,3,0
671,26.0,500,Titwala,1,2,0
672,810.0,1800,Goregaon,4,4,0
673,70.0,452,Vikhroli,1,1,0
674,300.0,1207,Ghatkopar,3,3,0
675,250.0,1020,Chembur,2,2,0
676,154.0,1150,Kurla,2,2,0
677,110.0,650,Kurla,1,1,0
678,120.0,550,Kurla,1,1,0
679,103.0,600,Kurla,1,1,0
680,125.0,800,Chembur,1,1,0
681,170.0,900,other,2,2,0
682,155.0,800,Chembur,2,2,0
683,140.0,800,Chembur,2,2,0
684,289.0,1000,Deonar,3,2,0
685,100.0,450,Kurla,1,1,0
686,177.0,800,Chembur,2,2,0
687,175.0,810,Chembur,2,2,0
688,300.0,3000,Thane,4,4,0
689,75.0,710,Thane,1,2,0
690,115.0,1000,Thane,2,2,0
691,135.0,1020,Thane,2,2,0
692,300.0,1600,Vashi,3,3,0
693,310.0,1400,Nerul,3,2,0
